2    Cumings     John_Bradley    38   PC_17599         71.3  1/11/1912
NA   NA          NA              NA   NA               NA    NA       
3    Heikkinen   Laina           26   STON/O2._3101282 7.9   1/22/1912
NA   NA          NA              NA   NA               NA    NA       
4    Futrelle    Jacques_Heath   35   113803           53.1  3/23/1912
NA   NA          NA              NA   NA               NA    NA       
9    Johnson     Oscar_W         27   347742           11.1  3/2/1912 
NA   NA          NA              NA   NA               NA    NA       
10   Nasser      Nicholas        14   237736           30.1  2/21/1912
NA   NA          NA              NA   NA               NA    NA       
11   Sandstrom   Marguerite_Rut  4    PP_9549          16.7  2/20/1912
NA   NA          NA              NA   NA               NA    NA       
12   Bonnell     Elizabeth       58   113783           26.6  1/14/1912
NA   NA          NA              NA   NA               NA    NA       
16   Hewlett     Mary            55   248706           16    1/20/1912
NA   NA          NA              NA   NA               NA    NA       
18   Williams    Charles_Eugene  55   244373           13    1/22/1912
NA   NA          NA              NA   NA               NA    NA       
20   Masselmani  Fatima          55   2649             7.2   2/20/1912
NA   NA          NA              NA   NA               NA    NA       
